timestamp,sensor,value
2015-11-20T00:00:08+00:00,10,827.5
2015-11-20T00:00:08+00:00,11,832.6
2015-11-20T00:00:08+00:00,12,796.7
2015-11-20T00:00:08+00:00,13,817.3
2015-11-20T00:00:08+00:00,14,923.3
2015-11-20T00:00:08+00:00,15,912.4
2015-11-20T00:00:08+00:00,16,64.364
2015-11-20T00:00:08+00:00,17,3.5
2015-11-20T00:00:08+00:00,18,829.8
2015-11-20T00:00:08+00:00,19,856.1
2015-11-20T00:00:08+00:00,22,25.405
2015-11-20T00:00:08+00:00,23,25.5
2015-11-20T00:00:08+00:00,24,25.6
2015-11-20T00:00:08+00:00,25,30.332
2015-11-20T00:00:08+00:00,20,706.7
2015-11-20T00:00:08+00:00,21,11.3
2015-11-20T00:00:08+00:00,22,25.379
2015-11-20T00:00:08+00:00,23,25.475
2015-11-20T00:00:08+00:00,24,25.6
2015-11-20T00:00:08+00:00,25,30.331
2015-11-20T00:00:08+00:00,1,8.3
2015-11-20T00:00:08+00:00,2,11.3
2015-11-20T00:00:08+00:00,3,9527.0
2015-11-20T00:00:08+00:00,4,709.9
2015-11-20T00:00:08+00:00,5,690.2
2015-11-20T00:00:08+00:00,6,683.8
2015-11-20T00:00:08+00:00,7,719.3
2015-11-20T00:00:08+00:00,8,688.9
2015-11-20T00:00:08+00:00,9,661.9
2015-11-20T00:00:08+00:00,10,827.3
2015-11-20T00:00:08+00:00,11,832.8
2015-11-20T00:00:08+00:00,12,796.2
2015-11-20T00:00:08+00:00,13,818.2
2015-11-20T00:00:08+00:00,14,922.9
2015-11-20T00:00:08+00:00,15,912.2
2015-11-20T00:00:08+00:00,16,65.279
2015-11-20T00:00:08+00:00,17,3.4
2015-11-20T00:00:08+00:00,18,829.4
2015-11-20T00:00:08+00:00,19,855.0
2015-11-20T00:00:08+00:00,22,25.405
2015-11-20T00:00:08+00:00,23,25.5
2015-11-20T00:00:08+00:00,24,25.6
2015-11-20T00:00:08+00:00,25,30.331
2015-11-20T00:00:08+00:00,20,708.0
2015-11-20T00:00:08+00:00,21,11.3
2015-11-20T00:00:08+00:00,22,25.377
2015-11-20T00:00:08+00:00,23,25.473
2015-11-20T00:00:08+00:00,24,25.6
2015-11-20T00:00:09+00:00,25,30.331
2015-11-20T00:00:09+00:00,1,8.3
2015-11-20T00:00:09+00:00,2,11.3
2015-11-20T00:00:09+00:00,3,9525.0
2015-11-20T00:00:09+00:00,4,710.4
2015-11-20T00:00:09+00:00,5,690.2
2015-11-20T00:00:09+00:00,6,683.5
2015-11-20T00:00:09+00:00,7,719.8
2015-11-20T00:00:09+00:00,8,689.4
2015-11-20T00:00:09+00:00,9,661.9
2015-11-20T00:00:09+00:00,10,826.3
2015-11-20T00:00:09+00:00,11,832.0
2015-11-20T00:00:09+00:00,12,795.0
2015-11-20T00:00:09+00:00,13,817.2
2015-11-20T00:00:09+00:00,14,922.6
2015-11-20T00:00:09+00:00,15,912.1
2015-11-20T00:00:09+00:00,16,66.256
2015-11-20T00:00:09+00:00,17,3.4
2015-11-20T00:00:09+00:00,18,829.8
2015-11-20T00:00:09+00:00,19,855.4
2015-11-20T00:00:09+00:00,22,25.405
2015-11-20T00:00:09+00:00,23,25.5
2015-11-20T00:00:09+00:00,24,25.6
2015-11-20T00:00:09+00:00,25,30.331
2015-11-20T00:00:09+00:00,20,708.5
2015-11-20T00:00:09+00:00,21,11.3
2015-11-20T00:00:09+00:00,22,25.375
2015-11-20T00:00:09+00:00,23,25.471
2015-11-20T00:00:09+00:00,24,25.6
2015-11-20T00:00:09+00:00,25,30.33
2015-11-20T00:00:09+00:00,1,8.3
2015-11-20T00:00:09+00:00,2,11.3
2015-11-20T00:00:09+00:00,3,9526.0
2015-11-20T00:00:09+00:00,4,709.2
2015-11-20T00:00:09+00:00,5,690.2
2015-11-20T00:00:09+00:00,6,683.9
2015-11-20T00:00:09+00:00,7,720.1
2015-11-20T00:00:09+00:00,8,690.3
2015-11-20T00:00:09+00:00,9,661.1
2015-11-20T00:00:09+00:00,10,827.2
2015-11-20T00:00:09+00:00,11,832.3
2015-11-20T00:00:09+00:00,12,794.2
2015-11-20T00:00:09+00:00,13,817.7
2015-11-20T00:00:09+00:00,14,924.0
2015-11-20T00:00:09+00:00,15,912.5
2015-11-20T00:00:09+00:00,16,67.171
2015-11-20T00:00:09+00:00,17,3.6
2015-11-20T00:00:09+00:00,18,828.8
2015-11-20T00:00:09+00:00,19,856.1
2015-11-20T00:00:09+00:00,22,25.405
2015-11-20T00:00:09+00:00,23,25.5
2015-11-20T00:00:09+00:00,24,25.6
2015-11-20T00:00:09+00:00,25,30.33
2015-11-20T00:00:09+00:00,20,708.6
2015-11-20T00:00:09+00:00,21,11.3
2015-11-20T00:00:09+00:00,22,25.373
2015-11-20T00:00:09+00:00,23,25.47
2015-11-20T00:00:09+00:00,24,25.6
2015-11-20T00:00:09+00:00,25,30.329
2015-11-20T00:00:09+00:00,1,8.3
2015-11-20T00:00:10+00:00,2,11.3
2015-11-20T00:00:10+00:00,3,9525.0
2015-11-20T00:00:10+00:00,4,710.5
2015-11-20T00:00:10+00:00,5,690.7
2015-11-20T00:00:10+00:00,6,682.8
